timestamp,source,vehicle_model_id,price
4/20/2019 9:06,https://aunt.example.com/#achiever,18760,290313
1/4/2019 10:10,http://example.com/brick,39661,262872
4/25/2019 10:17,http://example.com/arch,19676,384585
2/7/2019 10:31,http://www.example.com/,10196,471180
4/9/2019 10:40,http://www.example.net/#brother,17644,810678
5/9/2019 10:44,https://acoustics.example.com/bath.aspx,17715,623702
3/16/2019 10:49,http://example.com/,43286,853854
1/6/2019 11:28,http://www.example.com/angle/badge.html,45923,1212601
4/4/2019 12:48,https://example.edu/,41332,778916
4/2/2019 13:37,http://www.example.com/,39855,437256
6/1/2019 13:48,https://www.example.com/,11226,1002737
5/30/2019 14:11,https://example.com/#blade,10287,934836
4/18/2019 14:31,http://www.example.com/blood.html?boundary=boot,12045,353363
1/25/2019 15:33,http://www.example.com/,29307,776334
4/20/2019 15:40,https://bird.example.com/,18769,638803
3/12/2019 15:59,https://example.com/bird/brother.php,18739,337394
5/20/2019 16:01,http://www.example.com/brick?bit=act&apparel=blade,38125,910163
1/27/2019 16:09,https://www.example.com/,34378,716358
1/7/2019 16:32,http://example.com/?bike=achiever&bath=birds#aunt,10302,468676
3/1/2019 16:59,https://www.example.com/?bag=bear,13700,391594
5/6/2019 17:00,http://example.com/,37618,1005940
4/25/2019 17:05,http://www.example.com/,28456,391897
3/16/2019 17:07,http://example.com/,39886,272841
5/14/2019 17:08,https://example.com/attraction.php?agreement=advice&adjustment=birds,36321,383660
4/28/2019 17:12,http://example.com/?acoustics=box,44616,798059
4/15/2019 17:25,https://apparatus.example.net/,30774,440415
5/23/2019 17:32,http://www.example.com/,25131,977230
2/18/2019 17:42,http://www.example.com/brass#birds,41417,551008
4/9/2019 17:49,http://example.com/#bath,23792,637201
1/24/2019 17:56,http://example.com/beef.html#attraction,23115,1046849
3/3/2019 18:56,http://www.example.net/#beds,25633,807998
5/12/2019 19:56,http://belief.example.net/,9356,1238842
3/10/2019 20:56,https://example.com/bite.html,24012,273564
3/17/2019 21:56,http://www.example.com/,40117,882705
2/15/2019 22:56,https://www.example.net/blow.php,21571,645015
5/31/2019 23:56,https://www.example.org/,14728,374478
